date,ufo
Oct-77,15
Sep-77,22
Aug-77,34
Jul-77,65
Jun-77,79
May-77,25
Apr-77,12
Mar-77,16
Feb-77,6
Jan-77,13
Dec-76,9
Nov-76,18
Oct-76,23
Sep-76,33
Aug-76,31
Jul-76,68
Jun-76,103
May-76,16
Apr-76,8
Mar-76,4
Feb-76,11
Jan-76,11
Dec-75,16
Nov-75,20
Oct-75,34
Sep-75,24
Aug-75,43
Jul-75,60
Jun-75,115
May-75,13
Apr-75,16
Mar-75,12
Feb-75,5
Jan-75,17
Dec-74,8
Nov-74,23
Oct-74,32
Sep-74,28
Aug-74,42
Jul-74,48
Jun-74,78
May-74,18
Apr-74,17
Mar-74,7
Feb-74,4
Jan-74,13
