date,ufo,link
Feb-08,372,http://www.nuforc.org/webreports/ndxe200802.html
Jan-08,475,http://www.nuforc.org/webreports/ndxe200801.html
Dec-07,362,http://www.nuforc.org/webreports/ndxe200712.html
Nov-07,375,http://www.nuforc.org/webreports/ndxe200711.html
Oct-07,449,http://www.nuforc.org/webreports/ndxe200710.html
Sep-07,451,http://www.nuforc.org/webreports/ndxe200709.html
Aug-07,472,http://www.nuforc.org/webreports/ndxe200708.html
Jul-07,466,http://www.nuforc.org/webreports/ndxe200707.html
Jun-07,428,http://www.nuforc.org/webreports/ndxe200706.html
May-07,317,http://www.nuforc.org/webreports/ndxe200705.html
Apr-07,323,http://www.nuforc.org/webreports/ndxe200704.html
Mar-07,363,http://www.nuforc.org/webreports/ndxe200703.html
Feb-07,267,http://www.nuforc.org/webreports/ndxe200702.html
Jan-07,441,http://www.nuforc.org/webreports/ndxe200701.html
Dec-06,387,http://www.nuforc.org/webreports/ndxe200612.html
Nov-06,413,http://www.nuforc.org/webreports/ndxe200611.html
Oct-06,402,http://www.nuforc.org/webreports/ndxe200610.html
Sep-06,327,http://www.nuforc.org/webreports/ndxe200609.html
Aug-06,429,http://www.nuforc.org/webreports/ndxe200608.html
Jul-06,430,http://www.nuforc.org/webreports/ndxe200607.html
Jun-06,341,http://www.nuforc.org/webreports/ndxe200606.html
May-06,302,http://www.nuforc.org/webreports/ndxe200605.html
Apr-06,322,http://www.nuforc.org/webreports/ndxe200604.html
Mar-06,306,http://www.nuforc.org/webreports/ndxe200603.html
Feb-06,233,http://www.nuforc.org/webreports/ndxe200602.html
Jan-06,253,http://www.nuforc.org/webreports/ndxe200601.html
Dec-05,277,http://www.nuforc.org/webreports/ndxe200512.html
Nov-05,466,http://www.nuforc.org/webreports/ndxe200511.html
Oct-05,487,http://www.nuforc.org/webreports/ndxe200510.html
Sep-05,532,http://www.nuforc.org/webreports/ndxe200509.html
Aug-05,355,http://www.nuforc.org/webreports/ndxe200508.html
Jul-05,456,http://www.nuforc.org/webreports/ndxe200507.html
Jun-05,410,http://www.nuforc.org/webreports/ndxe200506.html
May-05,302,http://www.nuforc.org/webreports/ndxe200505.html
Apr-05,317,http://www.nuforc.org/webreports/ndxe200504.html
Mar-05,358,http://www.nuforc.org/webreports/ndxe200503.html
Feb-05,278,http://www.nuforc.org/webreports/ndxe200502.html
Jan-05,260,http://www.nuforc.org/webreports/ndxe200501.html
Dec-04,306,http://www.nuforc.org/webreports/ndxe200412.html
Nov-04,331,http://www.nuforc.org/webreports/ndxe200411.html
Oct-04,453,http://www.nuforc.org/webreports/ndxe200410.html
Sep-04,412,http://www.nuforc.org/webreports/ndxe200409.html
Aug-04,551,http://www.nuforc.org/webreports/ndxe200408.html
Jul-04,438,http://www.nuforc.org/webreports/ndxe200407.html
Jun-04,431,http://www.nuforc.org/webreports/ndxe200406.html
May-04,390,http://www.nuforc.org/webreports/ndxe200405.html
Apr-04,393,http://www.nuforc.org/webreports/ndxe200404.html
Mar-04,416,http://www.nuforc.org/webreports/ndxe200403.html
Feb-04,301,http://www.nuforc.org/webreports/ndxe200402.html
Jan-04,305,http://www.nuforc.org/webreports/ndxe200401.html
Dec-03,383,http://www.nuforc.org/webreports/ndxe200312.html
Nov-03,472,http://www.nuforc.org/webreports/ndxe200311.html
Oct-03,474,http://www.nuforc.org/webreports/ndxe200310.html
Sep-03,509,http://www.nuforc.org/webreports/ndxe200309.html
Aug-03,545,http://www.nuforc.org/webreports/ndxe200308.html
Jul-03,452,http://www.nuforc.org/webreports/ndxe200307.html
Jun-03,309,http://www.nuforc.org/webreports/ndxe200306.html
May-03,252,http://www.nuforc.org/webreports/ndxe200305.html
Apr-03,225,http://www.nuforc.org/webreports/ndxe200304.html
Mar-03,191,http://www.nuforc.org/webreports/ndxe200303.html
Feb-03,267,http://www.nuforc.org/webreports/ndxe200302.html
Jan-03,327,http://www.nuforc.org/webreports/ndxe200301.html
Dec-02,250,http://www.nuforc.org/webreports/ndxe200212.html
Nov-02,294,http://www.nuforc.org/webreports/ndxe200211.html
Oct-02,338,http://www.nuforc.org/webreports/ndxe200210.html
Sep-02,376,http://www.nuforc.org/webreports/ndxe200209.html
Aug-02,488,http://www.nuforc.org/webreports/ndxe200208.html
Jul-02,434,http://www.nuforc.org/webreports/ndxe200207.html
Jun-02,348,http://www.nuforc.org/webreports/ndxe200206.html
May-02,251,http://www.nuforc.org/webreports/ndxe200205.html
Apr-02,191,http://www.nuforc.org/webreports/ndxe200204.html
Mar-02,197,http://www.nuforc.org/webreports/ndxe200203.html
Feb-02,260,http://www.nuforc.org/webreports/ndxe200202.html
Jan-02,238,http://www.nuforc.org/webreports/ndxe200201.html
Dec-01,213,http://www.nuforc.org/webreports/ndxe200112.html
Nov-01,280,http://www.nuforc.org/webreports/ndxe200111.html
Oct-01,257,http://www.nuforc.org/webreports/ndxe200110.html
Sep-01,350,http://www.nuforc.org/webreports/ndxe200109.html
Aug-01,396,http://www.nuforc.org/webreports/ndxe200108.html
Jul-01,409,http://www.nuforc.org/webreports/ndxe200107.html
Jun-01,314,http://www.nuforc.org/webreports/ndxe200106.html
May-01,255,http://www.nuforc.org/webreports/ndxe200105.html
Apr-01,234,http://www.nuforc.org/webreports/ndxe200104.html
Mar-01,291,http://www.nuforc.org/webreports/ndxe200103.html
Feb-01,233,http://www.nuforc.org/webreports/ndxe200102.html
Jan-01,282,http://www.nuforc.org/webreports/ndxe200101.html
Dec-00,233,http://www.nuforc.org/webreports/ndxe200012.html
Nov-00,232,http://www.nuforc.org/webreports/ndxe200011.html
Oct-00,329,http://www.nuforc.org/webreports/ndxe200010.html
Sep-00,298,http://www.nuforc.org/webreports/ndxe200009.html
Aug-00,298,http://www.nuforc.org/webreports/ndxe200008.html
Jul-00,365,http://www.nuforc.org/webreports/ndxe200007.html
Jun-00,277,http://www.nuforc.org/webreports/ndxe200006.html
May-00,188,http://www.nuforc.org/webreports/ndxe200005.html
Apr-00,198,http://www.nuforc.org/webreports/ndxe200004.html
Mar-00,225,http://www.nuforc.org/webreports/ndxe200003.html
Feb-00,203,http://www.nuforc.org/webreports/ndxe200002.html
Jan-00,231,http://www.nuforc.org/webreports/ndxe200001.html
Dec-99,226,http://www.nuforc.org/webreports/ndxe199912.html
Nov-99,450,http://www.nuforc.org/webreports/ndxe199911.html
Oct-99,312,http://www.nuforc.org/webreports/ndxe199910.html
Sep-99,407,http://www.nuforc.org/webreports/ndxe199909.html
Aug-99,318,http://www.nuforc.org/webreports/ndxe199908.html
Jul-99,307,http://www.nuforc.org/webreports/ndxe199907.html
Jun-99,287,http://www.nuforc.org/webreports/ndxe199906.html
May-99,190,http://www.nuforc.org/webreports/ndxe199905.html
Apr-99,165,http://www.nuforc.org/webreports/ndxe199904.html
Mar-99,162,http://www.nuforc.org/webreports/ndxe199903.html
Feb-99,175,http://www.nuforc.org/webreports/ndxe199902.html
Jan-99,145,http://www.nuforc.org/webreports/ndxe199901.html
Dec-98,193,http://www.nuforc.org/webreports/ndxe199812.html
Nov-98,213,http://www.nuforc.org/webreports/ndxe199811.html
Oct-98,226,http://www.nuforc.org/webreports/ndxe199810.html
Sep-98,249,http://www.nuforc.org/webreports/ndxe199809.html
Aug-98,176,http://www.nuforc.org/webreports/ndxe199808.html
Jul-98,185,http://www.nuforc.org/webreports/ndxe199807.html
Jun-98,213,http://www.nuforc.org/webreports/ndxe199806.html
May-98,107,http://www.nuforc.org/webreports/ndxe199805.html
Apr-98,130,http://www.nuforc.org/webreports/ndxe199804.html
Mar-98,146,http://www.nuforc.org/webreports/ndxe199803.html
Feb-98,87,http://www.nuforc.org/webreports/ndxe199802.html
Jan-98,85,http://www.nuforc.org/webreports/ndxe199801.html
Dec-97,73,http://www.nuforc.org/webreports/ndxe199712.html
Nov-97,124,http://www.nuforc.org/webreports/ndxe199711.html
Oct-97,114,http://www.nuforc.org/webreports/ndxe199710.html
Sep-97,57,http://www.nuforc.org/webreports/ndxe199709.html
Aug-97,131,http://www.nuforc.org/webreports/ndxe199708.html
Jul-97,228,http://www.nuforc.org/webreports/ndxe199707.html
Jun-97,199,http://www.nuforc.org/webreports/ndxe199706.html
May-97,107,http://www.nuforc.org/webreports/ndxe199705.html
Apr-97,95,http://www.nuforc.org/webreports/ndxe199704.html
Mar-97,198,http://www.nuforc.org/webreports/ndxe199703.html
Feb-97,48,http://www.nuforc.org/webreports/ndxe199702.html
Jan-97,56,http://www.nuforc.org/webreports/ndxe199701.html
Dec-96,85,http://www.nuforc.org/webreports/ndxe199612.html
Nov-96,87,http://www.nuforc.org/webreports/ndxe199611.html
Oct-96,55,http://www.nuforc.org/webreports/ndxe199610.html
Sep-96,73,http://www.nuforc.org/webreports/ndxe199609.html
Aug-96,85,http://www.nuforc.org/webreports/ndxe199608.html
Jul-96,79,http://www.nuforc.org/webreports/ndxe199607.html
Jun-96,153,http://www.nuforc.org/webreports/ndxe199606.html
May-96,81,http://www.nuforc.org/webreports/ndxe199605.html
Apr-96,103,http://www.nuforc.org/webreports/ndxe199604.html
Mar-96,66,http://www.nuforc.org/webreports/ndxe199603.html
Feb-96,76,http://www.nuforc.org/webreports/ndxe199602.html
Jan-96,59,http://www.nuforc.org/webreports/ndxe199601.html
