date,ufo,link
Apr-2008,444,http://www.nuforc.org/webreports/ndxe200804.html
Mar-2008,341,http://www.nuforc.org/webreports/ndxe200803.html
Feb-2008,372,http://www.nuforc.org/webreports/ndxe200802.html
Jan-2008,475,http://www.nuforc.org/webreports/ndxe200801.html
Dec-2007,362,http://www.nuforc.org/webreports/ndxe200712.html
Nov-2007,375,http://www.nuforc.org/webreports/ndxe200711.html
Oct-2007,449,http://www.nuforc.org/webreports/ndxe200710.html
Sep-2007,451,http://www.nuforc.org/webreports/ndxe200709.html
Aug-2007,472,http://www.nuforc.org/webreports/ndxe200708.html
Jul-2007,466,http://www.nuforc.org/webreports/ndxe200707.html
Jun-2007,428,http://www.nuforc.org/webreports/ndxe200706.html
May-2007,317,http://www.nuforc.org/webreports/ndxe200705.html
Apr-2007,323,http://www.nuforc.org/webreports/ndxe200704.html
Mar-2007,363,http://www.nuforc.org/webreports/ndxe200703.html
Feb-2007,267,http://www.nuforc.org/webreports/ndxe200702.html
Jan-2007,441,http://www.nuforc.org/webreports/ndxe200701.html
Dec-2006,387,http://www.nuforc.org/webreports/ndxe200612.html
Nov-2006,413,http://www.nuforc.org/webreports/ndxe200611.html
Oct-2006,402,http://www.nuforc.org/webreports/ndxe200610.html
Sep-2006,327,http://www.nuforc.org/webreports/ndxe200609.html
Aug-2006,429,http://www.nuforc.org/webreports/ndxe200608.html
Jul-2006,430,http://www.nuforc.org/webreports/ndxe200607.html
Jun-2006,341,http://www.nuforc.org/webreports/ndxe200606.html
May-2006,302,http://www.nuforc.org/webreports/ndxe200605.html
Apr-2006,322,http://www.nuforc.org/webreports/ndxe200604.html
Mar-2006,306,http://www.nuforc.org/webreports/ndxe200603.html
Feb-2006,233,http://www.nuforc.org/webreports/ndxe200602.html
Jan-2006,253,http://www.nuforc.org/webreports/ndxe200601.html
Dec-2005,277,http://www.nuforc.org/webreports/ndxe200512.html
Nov-2005,466,http://www.nuforc.org/webreports/ndxe200511.html
Oct-2005,487,http://www.nuforc.org/webreports/ndxe200510.html
Sep-2005,532,http://www.nuforc.org/webreports/ndxe200509.html
Aug-2005,355,http://www.nuforc.org/webreports/ndxe200508.html
Jul-2005,456,http://www.nuforc.org/webreports/ndxe200507.html
Jun-2005,410,http://www.nuforc.org/webreports/ndxe200506.html
May-2005,302,http://www.nuforc.org/webreports/ndxe200505.html
Apr-2005,317,http://www.nuforc.org/webreports/ndxe200504.html
Mar-2005,358,http://www.nuforc.org/webreports/ndxe200503.html
Feb-2005,278,http://www.nuforc.org/webreports/ndxe200502.html
Jan-2005,260,http://www.nuforc.org/webreports/ndxe200501.html
Dec-2004,306,http://www.nuforc.org/webreports/ndxe200412.html
Nov-2004,331,http://www.nuforc.org/webreports/ndxe200411.html
Oct-2004,453,http://www.nuforc.org/webreports/ndxe200410.html
Sep-2004,412,http://www.nuforc.org/webreports/ndxe200409.html
Aug-2004,551,http://www.nuforc.org/webreports/ndxe200408.html
Jul-2004,438,http://www.nuforc.org/webreports/ndxe200407.html
Jun-2004,431,http://www.nuforc.org/webreports/ndxe200406.html
May-2004,390,http://www.nuforc.org/webreports/ndxe200405.html
Apr-2004,393,http://www.nuforc.org/webreports/ndxe200404.html
Mar-2004,416,http://www.nuforc.org/webreports/ndxe200403.html
Feb-2004,301,http://www.nuforc.org/webreports/ndxe200402.html
Jan-2004,305,http://www.nuforc.org/webreports/ndxe200401.html
Dec-2003,383,http://www.nuforc.org/webreports/ndxe200312.html
Nov-2003,472,http://www.nuforc.org/webreports/ndxe200311.html
Oct-2003,474,http://www.nuforc.org/webreports/ndxe200310.html
Sep-2003,509,http://www.nuforc.org/webreports/ndxe200309.html
Aug-2003,545,http://www.nuforc.org/webreports/ndxe200308.html
Jul-2003,452,http://www.nuforc.org/webreports/ndxe200307.html
Jun-2003,309,http://www.nuforc.org/webreports/ndxe200306.html
May-2003,252,http://www.nuforc.org/webreports/ndxe200305.html
Apr-2003,225,http://www.nuforc.org/webreports/ndxe200304.html
Mar-2003,191,http://www.nuforc.org/webreports/ndxe200303.html
Feb-2003,267,http://www.nuforc.org/webreports/ndxe200302.html
Jan-2003,327,http://www.nuforc.org/webreports/ndxe200301.html
Dec-2002,250,http://www.nuforc.org/webreports/ndxe200212.html
Nov-2002,294,http://www.nuforc.org/webreports/ndxe200211.html
Oct-2002,338,http://www.nuforc.org/webreports/ndxe200210.html
Sep-2002,376,http://www.nuforc.org/webreports/ndxe200209.html
Aug-2002,488,http://www.nuforc.org/webreports/ndxe200208.html
Jul-2002,434,http://www.nuforc.org/webreports/ndxe200207.html
Jun-2002,348,http://www.nuforc.org/webreports/ndxe200206.html
May-2002,251,http://www.nuforc.org/webreports/ndxe200205.html
Apr-2002,191,http://www.nuforc.org/webreports/ndxe200204.html
Mar-2002,197,http://www.nuforc.org/webreports/ndxe200203.html
Feb-2002,260,http://www.nuforc.org/webreports/ndxe200202.html
Jan-2002,238,http://www.nuforc.org/webreports/ndxe200201.html
Dec-2001,213,http://www.nuforc.org/webreports/ndxe200112.html
Nov-2001,280,http://www.nuforc.org/webreports/ndxe200111.html
Oct-2001,257,http://www.nuforc.org/webreports/ndxe200110.html
Sep-2001,350,http://www.nuforc.org/webreports/ndxe200109.html
Aug-2001,396,http://www.nuforc.org/webreports/ndxe200108.html
Jul-2001,409,http://www.nuforc.org/webreports/ndxe200107.html
Jun-2001,314,http://www.nuforc.org/webreports/ndxe200106.html
May-2001,255,http://www.nuforc.org/webreports/ndxe200105.html
Apr-2001,234,http://www.nuforc.org/webreports/ndxe200104.html
Mar-2001,291,http://www.nuforc.org/webreports/ndxe200103.html
Feb-2001,233,http://www.nuforc.org/webreports/ndxe200102.html
Jan-2001,282,http://www.nuforc.org/webreports/ndxe200101.html
Dec-2000,233,http://www.nuforc.org/webreports/ndxe200012.html
Nov-2000,232,http://www.nuforc.org/webreports/ndxe200011.html
Oct-2000,329,http://www.nuforc.org/webreports/ndxe200010.html
Sep-2000,298,http://www.nuforc.org/webreports/ndxe200009.html
Aug-2000,298,http://www.nuforc.org/webreports/ndxe200008.html
Jul-2000,365,http://www.nuforc.org/webreports/ndxe200007.html
Jun-2000,277,http://www.nuforc.org/webreports/ndxe200006.html
May-2000,188,http://www.nuforc.org/webreports/ndxe200005.html
Apr-2000,198,http://www.nuforc.org/webreports/ndxe200004.html
Mar-2000,225,http://www.nuforc.org/webreports/ndxe200003.html
Feb-2000,203,http://www.nuforc.org/webreports/ndxe200002.html
Jan-2000,231,http://www.nuforc.org/webreports/ndxe200001.html
Dec-1999,226,http://www.nuforc.org/webreports/ndxe199912.html
Nov-1999,450,http://www.nuforc.org/webreports/ndxe199911.html
Oct-1999,312,http://www.nuforc.org/webreports/ndxe199910.html
Sep-1999,407,http://www.nuforc.org/webreports/ndxe199909.html
Aug-1999,318,http://www.nuforc.org/webreports/ndxe199908.html
Jul-1999,307,http://www.nuforc.org/webreports/ndxe199907.html
Jun-1999,287,http://www.nuforc.org/webreports/ndxe199906.html
May-1999,190,http://www.nuforc.org/webreports/ndxe199905.html
Apr-1999,165,http://www.nuforc.org/webreports/ndxe199904.html
Mar-1999,162,http://www.nuforc.org/webreports/ndxe199903.html
Feb-1999,175,http://www.nuforc.org/webreports/ndxe199902.html
Jan-1999,145,http://www.nuforc.org/webreports/ndxe199901.html
Dec-1998,193,http://www.nuforc.org/webreports/ndxe199812.html
Nov-1998,213,http://www.nuforc.org/webreports/ndxe199811.html
Oct-1998,226,http://www.nuforc.org/webreports/ndxe199810.html
Sep-1998,249,http://www.nuforc.org/webreports/ndxe199809.html
Aug-1998,176,http://www.nuforc.org/webreports/ndxe199808.html
Jul-1998,185,http://www.nuforc.org/webreports/ndxe199807.html
Jun-1998,213,http://www.nuforc.org/webreports/ndxe199806.html
May-1998,107,http://www.nuforc.org/webreports/ndxe199805.html
Apr-1998,130,http://www.nuforc.org/webreports/ndxe199804.html
Mar-1998,146,http://www.nuforc.org/webreports/ndxe199803.html
Feb-1998,87,http://www.nuforc.org/webreports/ndxe199802.html
Jan-1998,85,http://www.nuforc.org/webreports/ndxe199801.html
Dec-1997,73,http://www.nuforc.org/webreports/ndxe199712.html
Nov-1997,124,http://www.nuforc.org/webreports/ndxe199711.html
Oct-1997,114,http://www.nuforc.org/webreports/ndxe199710.html
Sep-1997,57,http://www.nuforc.org/webreports/ndxe199709.html
Aug-1997,131,http://www.nuforc.org/webreports/ndxe199708.html
Jul-1997,228,http://www.nuforc.org/webreports/ndxe199707.html
Jun-1997,199,http://www.nuforc.org/webreports/ndxe199706.html
May-1997,107,http://www.nuforc.org/webreports/ndxe199705.html
Apr-1997,95,http://www.nuforc.org/webreports/ndxe199704.html
Mar-1997,198,http://www.nuforc.org/webreports/ndxe199703.html
Feb-1997,48,http://www.nuforc.org/webreports/ndxe199702.html
Jan-1997,56,http://www.nuforc.org/webreports/ndxe199701.html
Dec-1996,85,http://www.nuforc.org/webreports/ndxe199612.html
Nov-1996,87,http://www.nuforc.org/webreports/ndxe199611.html
Oct-1996,55,http://www.nuforc.org/webreports/ndxe199610.html
Sep-1996,73,http://www.nuforc.org/webreports/ndxe199609.html
Aug-1996,85,http://www.nuforc.org/webreports/ndxe199608.html
Jul-1996,79,http://www.nuforc.org/webreports/ndxe199607.html
Jun-1996,153,http://www.nuforc.org/webreports/ndxe199606.html
May-1996,81,http://www.nuforc.org/webreports/ndxe199605.html
Apr-1996,103,http://www.nuforc.org/webreports/ndxe199604.html
Mar-1996,66,http://www.nuforc.org/webreports/ndxe199603.html
Feb-1996,76,http://www.nuforc.org/webreports/ndxe199602.html
Jan-1996,59,http://www.nuforc.org/webreports/ndxe199601.html
